planet_name,num_planets,period,axis,density,distance,mass_e,radius_e,star_temp,star_mass,star_radius,star_type_num,star_type,disc_method,link
HD 48265 b,1,762,1.6,,87.41,,,5789,1.22,1.82,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_48265_b/
HD 164595 b,1,40,0.23,,28.93,,,5790,0.99,,4.2,G2 V,Radial Velocity,http://exoplanet.eu/catalog/hd_164595_b/
Kepler-142 b,3,2.024152,0.032,,,,1.99,5790,0.99,1.27,,,Transit,http://exoplanet.eu/catalog/kepler-142_b/
Kepler-142 c,3,4.761702,0.057,,,,2.86,5790,0.99,1.27,,,Transit,http://exoplanet.eu/catalog/kepler-142_c/
Kepler-142 d,3,41.809118,0.242,,,,2.16,5790,0.99,1.27,,,Transit,http://exoplanet.eu/catalog/kepler-142_d/
51 Peg b,1,4.230785,0.0527,,15.36,,,5793,1.12,1.2,4.25,G2.5 IV,Radial Velocity,http://exoplanet.eu/catalog/51_peg_b/
Kepler-68 b,3,5.398763,0.0617,3.32,135,8.3,2.31,5793,1.08,1.24,,,Transit,http://exoplanet.eu/catalog/kepler-68_b/
Kepler-68 c,3,9.605085,0.09059,28,135,4.8,0.953,5793,1.08,1.24,,,Transit,http://exoplanet.eu/catalog/kepler-68_c/
Kepler-68 d,3,580,1.4,,135,,,5793,1.08,1.24,,,Radial Velocity,http://exoplanet.eu/catalog/kepler-68_d/
Kepler-315 b,2,96.101141,0.402,,,,3.77,5796,0.78,1.04,,,Transit,http://exoplanet.eu/catalog/kepler-315_b/
Kepler-315 c,2,265.469335,0.791,,,,4.15,5796,0.78,1.04,,,Transit,http://exoplanet.eu/catalog/kepler-315_c/
Kepler-310 b,3,13.930698,0.111,,,,1.19,5797,0.85,0.88,,,Transit,http://exoplanet.eu/catalog/kepler-310_b/
Kepler-310 c,3,56.47542,0.281,,,,3.38,5797,0.85,0.88,,,Transit,http://exoplanet.eu/catalog/kepler-310_c/
Kepler-310 d,3,92.876125,0.392,,,,2.47,5797,0.85,0.88,,,Transit,http://exoplanet.eu/catalog/kepler-310_d/
K2-12 b,1,8.28212,0.0802,,294,,2.33,5800,1.01,1.01,,,Transit,
