planet_name,num_planets,period,axis,density,distance,mass_e,radius_e,star_temp,star_mass,star_radius,star_type_num,star_type,disc_method,link
2MASS J04414489+2301513 b,1,,15,,140,2383.6,,,0.02,,6.85,M8.5,Imaging,http://exoplanet.eu/catalog/2m_044144_b/
2MASS J12073346-3932539 b,1,,46,,52.4,1271,,,0.02,,6.8,M8,Imaging,http://exoplanet.eu/catalog/2m1207_b/
2MASS J19383260+4603591 b,1,416,0.92,,,603.877,,,0.48,,,,Eclipse Timing Variations,
51 Eri b,1,,13.2,,29.4,635.66,,,1.75,,3,F0 IV,Imaging,
AB Pic b,1,,260,,45.52,4290.5,,,,,5.2,K2 V,Imaging,http://exoplanet.eu/catalog/ab_pic_b/
BD-13 2130 b,1,714.3,2.1,,766,,,,2.4,,4.5,G5 IV/V,Radial Velocity,http://exoplanet.eu/catalog/ngc_2423_3_b/
CHXR 73 b,1,,210,,,3994.486,,,0.35,,6.35,M3.5,Imaging,http://exoplanet.eu/catalog/chxr_73_b/
CT Cha b,1,,440,,165,5403,24.66,,,,,,Imaging,http://exoplanet.eu/catalog/ct_cha_b/
DENIS-P J082303.1-491201 b,1,246.36,0.36,,20.77,9057.77,,,0.07,,7.15,L1.5,Astrometry,
DH Tau b,1,,330,,140,3496,,,0.33,0.27,6.05,M0.5,Imaging,http://exoplanet.eu/catalog/dh_tau_b/
DP Leo b,1,10220,8.19,,,,,,0.69,,,,Eclipse Timing Variations,http://exoplanet.eu/catalog/dp_leo_b/
FU Tau b,1,,800,,,4993.107,,,,,,,Imaging,http://exoplanet.eu/catalog/fu_tau_b/
Fomalhaut b,1,555530,160,,7.69,,,,2,,2.3,A3 V,Imaging,http://exoplanet.eu/catalog/fomalhaut_b/
GJ 3634 b,1,2.64561,0.0287,,19.8,8.4,,,0.45,0.43,6.25,M2.5,Radial Velocity,http://exoplanet.eu/catalog/gj_3634_b/
GJ 436 b,1,2.64388312,0.0291,1.8,10.23,22.1,4.17,,0.47,0.46,6.25,M2.5 V,Radial Velocity,http://exoplanet.eu/catalog/gj_436_b/
GJ 581 b,3,5.3686,0.04061,,6.27,,,,0.31,0.29,6.3,M3 V,Radial Velocity,http://exoplanet.eu/catalog/gl_581_b/
GJ 581 c,3,12.914,0.0721,,6.27,,,,0.31,0.29,6.3,M3 V,Radial Velocity,http://exoplanet.eu/catalog/gl_581_c/
GJ 581 e,3,3.149,0.02815,,6.27,,,,0.31,0.29,6.3,M3 V,Radial Velocity,http://exoplanet.eu/catalog/gl_581_e/
GJ 676 A b,3,1050.3,1.8,,16.13,,,,0.71,,6,M0 V,Radial Velocity,http://exoplanet.eu/catalog/gj_676a_b/
GJ 676 A d,3,3.6,0.0413,,16.13,,,,0.71,,6,M0 V,Radial Velocity,
GJ 676 A e,3,35.37,0.187,,16.13,,,,0.71,,6,M0 V,Radial Velocity,
GJ 849 b,1,1845,2.32,,8.77,,,,0.49,,6.3,M3 V,Radial Velocity,http://exoplanet.eu/catalog/gj_849_b/
GJ 876 b,4,61.1166,0.208317,,4.7,723.2235,,,0.33,,6.4,M4,Radial Velocity,http://exoplanet.eu/catalog/gliese_876_b/
GJ 876 c,4,30.0881,0.12959,,4.7,226.9846,,,0.33,,6.4,M4,Radial Velocity,http://exoplanet.eu/catalog/gliese_876_c/
GJ 876 d,4,1.93778,0.020807,,4.7,6.83,,,0.33,,6.4,M4,Radial Velocity,http://exoplanet.eu/catalog/gliese_876_d/
GJ 876 e,4,124.26,0.3343,,4.7,14.6,,,0.33,,6.4,M4,Radial Velocity,http://exoplanet.eu/catalog/gliese_876_e/
GQ Lup b,1,,100,,139,6356,33.6,,0.7,,5.7,K7e V,Imaging,http://exoplanet.eu/catalog/gq_lup_b/
GU Psc b,1,,2000,,48,3591.3,14.179,,0.33,,6.3,M3,Imaging,http://exoplanet.eu/catalog/gu_psc_b/
HD 100655 b,1,157.57,0.76,,140.85,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_100655_b/
HD 101930 b,1,70.46,0.302,,30.5,,,,,,5.1,K1 V,Radial Velocity,http://exoplanet.eu/catalog/hd_101930_b/
HD 102117 b,1,20.8133,0.1532,,42,,,,,,4.6,G6 V,Radial Velocity,http://exoplanet.eu/catalog/hd_102117_b/
HD 102195 b,1,4.113775,,,28.98,,,,,,5,K0 V,Radial Velocity,http://exoplanet.eu/catalog/hd_102195_b/
HD 102272 b,1,127.58,0.614,,164.2,,,,,,5.2,K2,Radial Velocity,http://exoplanet.eu/catalog/hd_102272_b/
HD 102329 b,1,778.1,2.03,,138.5,,,,,,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hd_102329_b/
HD 102365 b,1,122.1,0.46,,9.24,,,,,,4.4,G3/5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_102365_b/
HD 104067 b,1,55.806,0.2643,,20.82,,,,,,5.2,K2 V,Radial Velocity,http://exoplanet.eu/catalog/hd_104067_b/
HD 104985 b,1,199.505,0.95,,102.04,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_104985_b/
HD 106270 b,1,2890,4.3,,87.87,,,,,,4.5,G5 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_106270_b/
HD 107148 b,1,48.056,0.269,,51.26,,,,,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_107148_b/
HD 108863 b,1,443.4,1.4,,138.5,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_108863_b/
HD 109246 b,1,68.27,0.33,,65.62,,,,,,4,G0,Radial Velocity,http://exoplanet.eu/catalog/hd_109246_b/
HD 110014 b,1,835.477,2.14,,97.66,,,,,,5.2,K2 III,Radial Velocity,http://exoplanet.eu/catalog/hd_110014_b/
HD 114729 b,1,1114,2.11,,35,,,,,,4,G0 V,Radial Velocity,http://exoplanet.eu/catalog/hd_114729_b/
HD 114762 b,1,83.888,0.363,,40.57,,,,,,3.8,F8,Radial Velocity,http://exoplanet.eu/catalog/hd_114762_b/
HD 116029 b,1,670,1.78,,110.62,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_116029_b/
HD 117207 b,1,2597,3.79,,33.01,,,,,,4.8,G8 IV/V,Radial Velocity,http://exoplanet.eu/catalog/hd_117207_b/
HD 117618 b,1,25.827,0.176,,38.02,,,,,,4.2,G2 V,Radial Velocity,http://exoplanet.eu/catalog/hd_117618_b/
HD 118203 b,1,6.1335,0.07,,88.57,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_118203_b/
HD 11964 b,2,1945,3.16,,33.98,,,,,,4.8,G8 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_11964_b/
HD 11964 c,2,37.91,0.229,,33.98,,,,,,4.8,G8 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_11964_c/
HD 11977 b,1,711,1.93,,66.49,,,,,,4.8,G8 III/IV,Radial Velocity,http://exoplanet.eu/catalog/hd_11977_b/
HD 125595 b,1,9.6737,0.0809,,27.45,,,,,,5.35,K3/4 V,Radial Velocity,http://exoplanet.eu/catalog/hd_125595_b/
HD 12661 b,2,262.709,0.831,,37.16,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_12661_b/
HD 12661 c,2,1708,2.9,,37.16,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_12661_c/
HD 128311 b,2,453.019,1.084,,,,,,0.83,0.76,5,K0 V,Radial Velocity,http://exoplanet.eu/catalog/hd_128311_b/
HD 128311 c,2,921.538,1.74,,,1204.25787,,,0.83,0.76,5,K0 V,Radial Velocity,http://exoplanet.eu/catalog/hd_128311_c/
HD 129445 b,1,1840,2.9,,67.61,,,,,,4.6,G6 V,Radial Velocity,http://exoplanet.eu/catalog/hd_129445_b/
HD 131496 b,1,883,2.09,,121.36,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_131496_b/
HD 13189 b,1,471.6,1.85,,300.3,,,,,,5.2,K2,Radial Velocity,http://exoplanet.eu/catalog/hd_13189_b/
HD 132406 b,1,974,1.98,,70.97,,,,,,4,G0,Radial Velocity,http://exoplanet.eu/catalog/hd_132406_b/
HD 132563 b,1,1544,2.62,,98.52,,,,,,3.8,F8,Radial Velocity,http://exoplanet.eu/catalog/hd_132563b_b/
HD 134987 b,2,258.19,0.81,,25.65,,,,,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_134987_b/
HD 134987 c,2,5000,5.8,,25.65,,,,,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_134987_c/
HD 141937 b,1,653.22,1.52,,33.46,,,,,,4.25,G2/3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_141937_b/
HD 142022 A b,1,1928,3.03,,35.87,,,,,,4.9,G9 IV-V,Radial Velocity,http://exoplanet.eu/catalog/hd_142022_a_b/
HD 142245 b,1,1299,2.77,,106.38,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_142245_b/
HD 143361 b,1,1057,2,,59.35,,,,,,4.6,G6 V,Radial Velocity,http://exoplanet.eu/catalog/hd_143361_b/
HD 145934 b,1,2730,4.6,,,,,,1.75,5.38,5,K0,Radial Velocity,
HD 147018 b,2,44.236,0.2388,,42.68,,,,,,4.9,G8/K0 V,Radial Velocity,http://exoplanet.eu/catalog/hd_147018_b/
HD 147018 c,2,1008,1.922,,42.68,,,,,,4.9,G8/K0 V,Radial Velocity,http://exoplanet.eu/catalog/hd_147018_c/
HD 148427 b,1,331.5,0.93,,59.28,,,,,,5,K0 III/IV,Radial Velocity,http://exoplanet.eu/catalog/hd_148427_b/
HD 1502 b,1,431.8,1.31,,167.5,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_1502_b/
HD 152079 b,1,2097,3.2,,85.18,,,,,,4.6,G6 V,Radial Velocity,http://exoplanet.eu/catalog/hd_152079_b/
HD 152581 b,1,689,1.48,,182.82,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_152581_b/
HD 154345 b,1,3342,4.19,,18.06,,,,,,4.8,G8 V,Radial Velocity,http://exoplanet.eu/catalog/hd_154345_b/
HD 154672 b,1,163.9,0.6,,65.79,,,,,,4.3,G3 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_154672_b/
HD 155358 b,2,194.3,0.64,,43.4,,,,,,4,G0,Radial Velocity,http://exoplanet.eu/catalog/hd_155358_b/
HD 155358 c,2,391.9,1.02,,43.4,,,,,,4,G0,Radial Velocity,http://exoplanet.eu/catalog/hd_155358_c/
HD 156279 b,1,131.05,0.495,,35.37,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_156279_b/
HD 156668 b,1,4.6455,0.05,,24.05,,,,,,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_156668_b/
HD 156846 b,1,359.5546,1.096,,49,,,,,,4.1,G1 V,Radial Velocity,http://exoplanet.eu/catalog/hd_156846_b/
HD 158038 b,1,521,1.52,,114.15,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_158038_b/
HD 159868 b,2,1178.4,2.25,,52.72,,,,,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_159868_b/
HD 159868 c,2,352.3,1,,52.72,,,,,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_159868_c/
HD 16141 b,1,75.523,0.363,,35.91,,,,,,4.5,G5 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_16141_b/
HD 162020 b,1,8.428198,0.074,,31.26,,,,,,5.2,K2 (V),Radial Velocity,http://exoplanet.eu/catalog/hd_162020_b/
HD 16417 b,1,17.24,0.14,,25.54,,,,,,4.1,G1 V,Radial Velocity,http://exoplanet.eu/catalog/hd_16417_b/
HD 164604 b,1,606.4,1.3,,37.98,,,,,,5.2,K1/3,Radial Velocity,http://exoplanet.eu/catalog/hd_164604_b/
HD 164922 b,1,1155,2.11,,21.92,,,,,,4.9,G9 V,Radial Velocity,http://exoplanet.eu/catalog/hd_164922_b/
HD 1690 b,1,533,1.3,,7.01,,,,,,5.1,K1 (III),Radial Velocity,http://exoplanet.eu/catalog/hd_1690_b/
HD 175167 b,1,1290,2.4,,67.02,,,,,,4.5,G5 IV/V,Radial Velocity,http://exoplanet.eu/catalog/hd_175167_b/
HD 18742 b,1,772,1.92,,127.88,,,,,,4.9,G8/K0 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_18742_b/
HD 192263 b,1,24.3556,0.1532,,19.89,,,,,,5.2,K2 V,Radial Velocity,http://exoplanet.eu/catalog/hd_192263_b/
HD 197037 b,1,1035.7,2.07,,32.83,,,,,,4,G0,Radial Velocity,http://exoplanet.eu/catalog/hd_197037_b/
HD 203030 b,1,,487.1,,40.85,7656.097,,,,,4.8,G8 V,Imaging,
HD 209458 b,1,3.52474859,,,47.08,,14.796,,1.1,1.12,3.8,F8,Radial Velocity,http://exoplanet.eu/catalog/hd_209458_b/
HD 213240 b,1,951,2.03,,40.75,,,,,,4.05,G0/1 V,Radial Velocity,http://exoplanet.eu/catalog/hd_213240_b/
HD 216437 b,1,1256,2.32,,26.52,,,,1.15,,4.25,G2/3 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_216437_b/
HD 216770 b,1,118.45,0.46,,37.89,,,,0.9,,5,K0 V,Radial Velocity,http://exoplanet.eu/catalog/hd_216770_b/
HD 217786 b,1,1319,2.38,,54.92,,,,,,3.8,F8 V,Radial Velocity,http://exoplanet.eu/catalog/hd_217786_b/
HD 219828 b,1,3.8335,,,81.1,,,,,,4,G0,Radial Velocity,http://exoplanet.eu/catalog/hd_219828_b/
HD 220773 b,1,3724.7,4.94,,48.43,,,,,,4,G0,Radial Velocity,http://exoplanet.eu/catalog/hd_220773_b/
HD 22781 b,1,528.07,1.167,,31.79,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_22781_b/
HD 23079 b,1,730.6,1.596,,34.6,,,,,,3.9,F8/G0 V,Radial Velocity,http://exoplanet.eu/catalog/hd_23079_b/
HD 23127 b,1,1214,2.4,,89.13,,,,1.13,,4.2,G2 V,Radial Velocity,http://exoplanet.eu/catalog/hd_23127_b/
HD 25171 b,1,1845,3.02,,56.05,,,,,,3.8,F8 V,Radial Velocity,http://exoplanet.eu/catalog/hd_25171_b/
HD 27442 b,1,428.1,1.271,,18.24,,,,,,5.15,K1/2 III,Radial Velocity,http://exoplanet.eu/catalog/hd_27442_b/
HD 28678 b,1,387.1,1.25,,168.92,,,,,,4.8,G8 IV,Radial Velocity,http://exoplanet.eu/catalog/hd_28678_b/
HD 30856 b,1,912,1.8,,121.07,,,,,,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hd_30856_b/
HD 33142 b,1,326.6,1.06,,136.8,,,,,,5,K0 III,Radial Velocity,http://exoplanet.eu/catalog/hd_33142_b/
HD 37124 b,3,154.46,0.53,,33.24,,,,,,4.4,G4 V,Radial Velocity,http://exoplanet.eu/catalog/hd_37124_b/
HD 37124 c,3,843.6,1.64,,33.24,,,,,,4.4,G4 V,Radial Velocity,http://exoplanet.eu/catalog/hd_37124_c/
HD 37124 d,3,2295,3.19,,33.24,,,,,,4.4,G4 V,Radial Velocity,http://exoplanet.eu/catalog/hd_37124_d/
HD 39091 b,1,2151,3.38,,18.21,,,,,,4.1,G1 V,Radial Velocity,http://exoplanet.eu/catalog/hd_39091_b/
HD 41004 B b,1,1.3283,,,43.03,,,,0.4,,6.2,M2 V,Radial Velocity,http://exoplanet.eu/catalog/hd_41004_b_b/
HD 4208 b,1,828,1.65,,32.7,,,,,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_4208_b/
HD 45364 b,2,226.93,0.6813,,32.58,,,,,,5,K0 V,Radial Velocity,http://exoplanet.eu/catalog/hd_45364_b/
HD 45364 c,2,342.85,0.8972,,32.58,,,,,,5,K0 V,Radial Velocity,http://exoplanet.eu/catalog/hd_45364_c/
HD 49674 b,1,4.94737,0.058,,40.73,,,,,,4.5,G5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_49674_b/
HD 50499 b,1,2482.7,3.86,,47.26,,,,1.24,,4.1,G0/2 V,Radial Velocity,http://exoplanet.eu/catalog/hd_50499_b/
HD 5891 b,1,177.11,0.76,,150.6,,,,,,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_5891_b/
HD 63765 b,1,358,0.94,,32.62,,,,,,4.6,G6 IV/V,Radial Velocity,http://exoplanet.eu/catalog/hd_63765_b/
HD 73526 b,2,188.9,0.65,,94.61,,,,,,4.6,G6 V,Radial Velocity,http://exoplanet.eu/catalog/hd_73526_b/
HD 73526 c,2,379.1,1.03,,94.61,,,,,,4.6,G6 V,Radial Velocity,http://exoplanet.eu/catalog/hd_73526_c/
HD 76700 b,1,3.971,0.049,,59.7,,,,1,,4.6,G6 V,Radial Velocity,http://exoplanet.eu/catalog/hd_76700_b/
HD 79498 b,1,1966.1,3.13,,48.64,,,,,,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_79498_b/
HD 82886 b,1,705,1.65,,112.23,,,,,,4,G0,Radial Velocity,http://exoplanet.eu/catalog/hd_82886_b/
HD 86081 b,1,2.1375,0.035,,91.16,,,,1.21,1.22,3.8,F8 V,Radial Velocity,http://exoplanet.eu/catalog/hd_86081_b/
HD 86264 b,1,1475,2.86,,72.57,,,,,,3.7,F7 V,Radial Velocity,http://exoplanet.eu/catalog/hd_86264_b/
HD 8673 b,1,1634,3.02,,38.26,,,,,,3.5,F5,Radial Velocity,http://exoplanet.eu/catalog/hd_8673_b/
HD 87883 b,1,2754,3.6,,18.06,,,,,,5.25,K2.5 V,Radial Velocity,http://exoplanet.eu/catalog/hd_87883_b/
HD 89307 b,1,2157,3.27,,30.88,,,,,,4,G0,Radial Velocity,http://exoplanet.eu/catalog/hd_89307_b/
HD 93083 b,1,143.58,0.477,,28.9,,,,,,5.3,K3 V,Radial Velocity,http://exoplanet.eu/catalog/hd_93083_b/
HD 9446 b,2,30.052,0.189,,52.85,,,,,,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_9446_b/
HD 9446 c,2,192.9,0.654,,52.85,,,,,,4.5,G5,Radial Velocity,http://exoplanet.eu/catalog/hd_9446_c/
HD 95086 b,1,,55.7,,91.57,1589,,,1.6,,2.8,A8 III,Imaging,http://exoplanet.eu/catalog/hd_95086_b/
HD 96063 b,1,361.1,0.99,,132.8,,,,,,4.6,G6 V,Radial Velocity,http://exoplanet.eu/catalog/hd_96063_b/
HD 98219 b,1,436.9,1.23,,150.38,,,,,,5,K0 III/IV,Radial Velocity,http://exoplanet.eu/catalog/hd_98219_b/
HD 99706 b,1,868,2.14,,130.89,,,,,,5,K0,Radial Velocity,http://exoplanet.eu/catalog/hd_99706_b/
HIP 12961 b,1,57.435,0.25,,23.8,,,,,,6,M0,Radial Velocity,http://exoplanet.eu/catalog/hip_12961_b/
HIP 57050 b,1,41.397,0.163506,,11.03,,,,,,6.4,M4,Radial Velocity,http://exoplanet.eu/catalog/hip_57050_b/
HIP 57274 b,3,8.1352,0.07,,25.87,,,,,,5.4,K4 V,Radial Velocity,http://exoplanet.eu/catalog/hip_57274_b/
HIP 57274 c,3,32.03,0.178,,25.87,,,,,,5.4,K4 V,Radial Velocity,http://exoplanet.eu/catalog/hip_57274_c/
HIP 57274 d,3,431.7,1.01,,25.87,,,,,,5.4,K4 V,Radial Velocity,http://exoplanet.eu/catalog/hip_57274_d/
HIP 70849 b,1,17337.5,20.25,,23.98,,,,,,5.7,K7 V k,Radial Velocity,http://exoplanet.eu/catalog/hip_70849_b/
HIP 79431 b,1,111.7,0.36,,14.9,,,,,,6.3,M3 V,Radial Velocity,http://exoplanet.eu/catalog/hip_79431_b/
HN Peg b,1,,773,,18.39,6991.57,11.777,,,,4,G0 IV-V,Imaging,http://exoplanet.eu/catalog/hn_peg_b/
HR 810 b,1,312,0.91,,17.24,,,,,,4,G0 V,Radial Velocity,http://exoplanet.eu/catalog/hr_810_b/
HR 8799 b,4,170000,68,,39.4,2000,13,,1.51,,3.02,F0+ V ({lambda} Boo)...,Imaging,http://exoplanet.eu/catalog/hr_8799_b/
HR 8799 c,4,69000,38,,39.4,3000,13,,1.51,,3.02,F0+ V ({lambda} Boo)...,Imaging,http://exoplanet.eu/catalog/hr_8799_c/
HR 8799 d,4,37000,24,,39.4,3000,13,,1.51,,3.02,F0+ V ({lambda} Boo)...,Imaging,http://exoplanet.eu/catalog/hr_8799_d/
HR 8799 e,4,18000,14.5,,39.4,,,,1.51,,3.02,F0+ V ({lambda} Boo)...,Imaging,http://exoplanet.eu/catalog/hr_8799_e/
K2-3 b,3,10.05429,0.0775,4.32,42,8.4,2.078,,0.61,0.55,6,M0.0 V,Transit,http://exoplanet.eu/catalog/k2-3__b/
K2-3 c,3,24.6491,0.1405,1.82,42,2.1,1.644,,0.61,0.55,6,M0.0 V,Transit,http://exoplanet.eu/catalog/k2-3__c/
K2-3 d,3,44.5705,0.2086,17.5,42,11.1,1.53,,0.61,0.55,6,M0.0 V,Transit,http://exoplanet.eu/catalog/k2-3__d/
Kepler-414 b,2,4.7,,,,3.5,1.71,,0.89,0.95,,,Transit Timing Variations,
Kepler-414 c,2,7.171,,,,29.9,3.01,,0.89,0.95,,,Transit Timing Variations,
Kepler-415 b,2,4.176,,,,119.9,1.21,,0.67,0.64,,,Transit Timing Variations,
Kepler-415 c,2,8.708,,,,,,,0.67,0.64,,,Transit Timing Variations,
Kepler-416 b,2,6.319,,,,58.2,2.48,,1,1.07,,,Transit Timing Variations,
Kepler-416 c,2,12.209,,,,,,,1,1.07,,,Transit Timing Variations,
Kepler-417 b,2,12.331,,,,11,2.31,,0.9,0.81,,,Transit Timing Variations,
Kepler-417 c,2,15.943,,,,,,,0.9,0.81,,,Transit Timing Variations,
Kepler-449 b,2,12.58242,,,,,2.056,,0.97,1.47,,,Transit,
Kepler-449 c,2,33.6727,,,,,2.764,,0.97,1.47,,,Transit,
Kepler-450 b,3,28.454851,,,,,6.14,,1.35,1.57,,,Transit,
Kepler-450 c,3,15.413135,,,,,2.62,,1.35,1.57,,,Transit,
Kepler-450 d,3,7.51464,,,,,0.837,,1.35,1.57,,,Transit,
LkCa 15 b,2,,14.7,,,,,,,,,,Imaging,http://exoplanet.eu/catalog/lkca_15_b/
LkCa 15 c,2,,18.6,,,,,,,,,,Imaging,
MOA 2007-BLG-192L b,1,,0.62,,1000,3.3,,,0.06,,,,Microlensing,http://exoplanet.eu/catalog/moa-2007-blg-192-l_b/
MOA 2007-BLG-400L b,1,,0.72,,5800,263.79,,,0.3,,,,Microlensing,http://exoplanet.eu/catalog/moa-2007-blg-400-l_b/
MOA 2008-BLG-310L b,1,,1.25,,6000,74,,,0.67,,,,Microlensing,http://exoplanet.eu/catalog/moa-2008-blg-310-l_b/
MOA 2008-BLG-379L b,1,,3.3,,3300,1303,,,0.56,,5,K,Microlensing,http://exoplanet.eu/catalog/moa-2008-blg-379l_b/
MOA 2009-BLG-266L b,1,2774,3.2,,3040,10.4,,,0.56,,,,Microlensing,http://exoplanet.eu/catalog/moa-2009-blg-266l_b/
MOA 2009-BLG-319L b,1,,2.4,,6100,50,,,0.38,,,,Microlensing,http://exoplanet.eu/catalog/moa-2009-blg-319_b/
MOA 2009-BLG-387L b,1,1982,1.82,,5690,813.6448,,,0.19,,,,Microlensing,http://exoplanet.eu/catalog/moa-2009-blg-387l_b/
MOA 2010-BLG-073L b,1,,1.21,,2800,3496,,,0.16,,,,Microlensing,
MOA 2010-BLG-328L b,1,,0.92,,810,9.2,,,0.11,,,,Microlensing,http://exoplanet.eu/catalog/moa-2010-blg-328l_b/
MOA 2011-BLG-262L b,1,,0.84,,7000,18,,,0.12,,,,Microlensing,http://exoplanet.eu/catalog/moa-2011-blg-262l_b/
MOA 2011-BLG-293L b,1,,1.1,,7720,1525.5,,,0.86,,,,Microlensing,http://exoplanet.eu/catalog/moa-2011-blg-293l_b/
MOA 2011-BLG-322L b,1,,4.3,,7560,3686.7,,,0.39,,,,Microlensing,http://exoplanet.eu/catalog/moa-2011-blg-322_b/
MOA-bin-1L b,1,,8.3,,5100,1175.9,,,0.75,,,,Microlensing,http://exoplanet.eu/catalog/moa-bin-1_b/
NGC 4349 127 b,1,677.8,2.38,,2200,,,,3.9,,,,Radial Velocity,http://exoplanet.eu/catalog/ngc_4349_no_127_b/
NY Vir b,1,2985.7,,,,,,,,,,,Eclipse Timing Variations,http://exoplanet.eu/catalog/ny_vir_b/
OGLE 2003-BLG-235L b,1,,3,,5200,476.7,,,0.36,,6.45,M2-M7,Microlensing,http://exoplanet.eu/catalog/ogle235-moa53_b/
OGLE 2005-BLG-169L b,1,,3.5,,4100,14.1,,,0.69,,5.5,K5,Microlensing,http://exoplanet.eu/catalog/ogle-05-169l_b/
OGLE 2005-BLG-390L b,1,3285,2.6,,6600,5.5,,,0.22,,,,Microlensing,http://exoplanet.eu/catalog/ogle-05-390l_b/
OGLE 2005-BLG-71L b,1,,3.6,,3200,1207.7,,,0.46,,,,Microlensing,http://exoplanet.eu/catalog/ogle-05-071l_b/
OGLE 2006-BLG-109L b,2,1788.5,2.3,,1510,231,,,0.51,,,,Microlensing,http://exoplanet.eu/catalog/ogle-06-109l_b/
OGLE 2006-BLG-109L c,2,4927.5,4.5,,1510,86,,,0.51,,,,Microlensing,http://exoplanet.eu/catalog/ogle-06-109l_c/
OGLE 2007-BLG-368L b,1,,3.3,,5900,20,,,0.64,,,,Microlensing,http://exoplanet.eu/catalog/ogle-2007-blg-368l_b/
OGLE 2008-BLG-355L b,1,,1.7,,6800,1462,,,0.37,,,,Microlensing,
OGLE 2008-BLG-92L b,1,,18,,8100,56.6,,,0.71,,,,Microlensing,http://exoplanet.eu/catalog/ogle-2008-blg-092l_b/
OGLE 2011-BLG-251L b,1,,2.72,,2570,168.44,,,0.26,,6,M,Microlensing,
OGLE 2011-BLG-265L b,1,,1.89,,4380,279.68,,,0.21,,,,Microlensing,
OGLE 2012-BLG-0563L b,1,,0.9,,1300,123,,,0.34,,,,Microlensing,
OGLE 2012-BLG-26L b,2,,3.82,,4080,34.96,,,0.82,,4.5,G5 V,Microlensing,http://exoplanet.eu/catalog/ogle-2012-blg-0026l_b/
OGLE 2012-BLG-26L c,2,,4.63,,4080,216.12,,,0.82,,4.5,G5 V,Microlensing,http://exoplanet.eu/catalog/ogle-2012-blg-0026l_c/
OGLE 2012-BLG-358L b,1,,0.87,,1760,587.96,,,0.02,,,,Microlensing,http://exoplanet.eu/catalog/ogle-2012-blg-0358l_b/
OGLE 2012-BLG-406L b,1,,3.45,,4970,867.64,,,0.44,,,,Microlensing,http://exoplanet.eu/catalog/ogle-2012-blg-0406l_b/
OGLE 2013-BLG-0723L B b,1,,0.34,,490,0.69,,,0.03,,,,Microlensing,http://exoplanet.eu/catalog/ogle-2013-blg-0723lb_b/
OGLE 2013-BLG-102L b,1,,0.8,,3040,3994.486,,,0.1,,,,Microlensing,http://exoplanet.eu/catalog/ogle-2013-blg-0102l_b/
OGLE 2013-BLG-341L B b,1,,0.883,,1161,2.32,,,0.15,,,,Microlensing,http://exoplanet.eu/catalog/ogle-2013-blg-0341l_b/
OGLE 2014-BLG-124L b,1,,3.11,,4100,162.09,,,0.71,,,,Microlensing,http://exoplanet.eu/catalog/ogle-2014-blg-0124l_b/
Oph 11 b,1,730000,,,,6674.15,,,,,,,Imaging,http://exoplanet.eu/catalog/oph_11_b/
PSR B1257+12 b,3,25.262,0.19,,600,0.02,,,,,,,Pulsar Timing,http://exoplanet.eu/catalog/psr_1257_12_b/
PSR B1257+12 c,3,66.5419,0.36,,600,4.3,,,,,,,Pulsar Timing,http://exoplanet.eu/catalog/psr_1257_12_c/
